mean_test_score,params
0.8202431042543245,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 89}"
0.8288686302010285,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 129}"
0.8245675549322113,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 168}"
0.8245208041140721,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 208}"
0.8223702664796635,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 247}"
0.8288452547919588,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 287}"
0.8353436185133241,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 327}"
0.8331930808789154,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 366}"
0.8245441795231416,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 406}"
0.8310425432445067,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 445}"
0.833216456287985,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 485}"
0.8310425432445069,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 525}"
0.8331930808789154,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 564}"
0.8310425432445069,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 604}"
0.8310659186535766,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 643}"
0.8354137447405329,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 683}"
0.8332398316970547,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 722}"
0.8332632071061244,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 762}"
0.8332632071061244,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 802}"
0.8267414679756895,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 841}"
0.8289153810191678,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 881}"
0.8289153810191678,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 920}"
0.8267414679756895,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 960}"
0.8267414679756895,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 1000}"
0.7985741000467508,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 50}"
0.8072463768115942,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 89}"
0.8137447405329594,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 129}"
0.8137213651238897,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 168}"
0.8137213651238897,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 208}"
0.8115474520804113,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 247}"
0.8158719027582982,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 287}"
0.8180458158017766,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 327}"
0.8202197288452548,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 366}"
0.8266947171575503,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 406}"
0.8245441795231416,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 445}"
0.8201963534361851,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 485}"
0.8202431042543245,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 525}"
0.8202431042543245,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 564}"
0.8245675549322113,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 604}"
0.8202431042543246,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 643}"
0.8224170172978027,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 683}"
0.8202431042543245,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 722}"
0.8245909303412808,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 762}"
0.8245909303412808,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 802}"
0.8180691912108463,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 841}"
0.8202431042543245,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 881}"
0.8202431042543245,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 920}"
0.8202431042543246,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 960}"
0.8224170172978027,"{'max_depth': 11, 'min_samples_split': 9, 'n_estimators': 1000}"
0.8028284244974287,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 50}"
0.813627863487611,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 89}"
0.8158485273492285,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 129}"
0.8093969144460027,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 168}"
0.8202197288452547,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 208}"
0.8072463768115942,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 247}"
0.8115708274894811,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 287}"
0.81369798971482,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 327}"
0.8115240766713419,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 366}"
0.8158719027582982,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 406}"
0.809373539036933,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 445}"
0.81369798971482,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 485}"
0.8115474520804113,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 525}"
0.8180691912108463,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 564}"
0.8245441795231416,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 604}"
0.8245675549322111,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 643}"
0.8224170172978027,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 683}"
0.8202431042543245,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 722}"
0.8224170172978027,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 762}"
0.8224170172978027,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 802}"
0.8180691912108461,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 841}"
