mean_test_score,max_depth,min_samples_split,n_estimators
0.8418186068256194,12,3,194
0.8461430575035063,12,3,195
0.8439925198690977,12,3,196
0.8439925198690977,12,3,197
0.8439925198690977,12,3,198
0.8439925198690977,12,3,199
0.8461430575035063,12,3,200
0.8418186068256194,12,3,201
0.843969144460028,12,3,202
0.8461430575035063,12,3,203
0.8439925198690977,12,3,204
0.8461430575035063,12,3,205
0.8439925198690977,12,3,206
0.8439925198690977,12,3,207
0.8439925198690977,12,3,208
0.8439925198690977,12,3,209
0.8418419822346891,12,3,210
0.8439925198690977,12,3,211
0.8418186068256194,12,3,212
0.8439925198690977,12,3,213
0.8439925198690977,12,3,214
0.8439925198690977,12,3,215
0.8439925198690977,12,3,216
0.8439925198690977,12,3,217
0.8418653576437588,12,3,218
0.8439925198690977,12,3,220
0.8439925198690977,12,4,180
0.8418186068256194,12,4,181
0.8439925198690977,12,4,182
0.8439925198690977,12,4,183
0.846166432912576,12,4,184
0.846166432912576,12,4,185
0.846166432912576,12,4,186
0.846166432912576,12,4,187
0.846166432912576,12,4,188
0.846166432912576,12,4,189
0.846166432912576,12,4,190
0.8439925198690977,12,4,191
0.8418186068256194,12,4,192
0.8439925198690977,12,4,193
0.846166432912576,12,4,194
0.8418419822346891,12,4,195
0.8418419822346891,12,4,196
0.8396680691912108,12,4,197
0.8418419822346891,12,4,198
0.8418419822346891,12,4,199
0.8418419822346891,12,4,200
0.8396680691912108,12,4,201
0.8418419822346891,12,4,202
0.8418419822346891,12,4,203
0.8418419822346891,12,4,204
0.8418419822346891,12,4,205
0.8418419822346891,12,4,206
0.8396680691912108,12,4,207
0.8396680691912108,12,4,208
0.8396680691912108,12,4,209
0.8396680691912108,12,4,210
0.8396680691912108,12,4,211
0.8396680691912108,12,4,212
0.8396680691912108,12,4,213
0.8396680691912108,12,4,214
0.8396680691912108,12,4,215
0.8418419822346891,12,4,216
0.8396680691912108,12,4,217
0.8396680691912108,12,4,218
0.8418419822346891,12,4,220
0.8310191678354372,12,5,180
0.8310191678354372,12,5,181
0.8310191678354372,12,5,182
0.8310191678354372,12,5,183
0.8310191678354372,12,5,184
0.8331697054698457,12,5,185
0.8331697054698457,12,5,186
0.8396680691912108,12,5,187
0.8353202431042543,12,5,188
0.8396680691912108,12,5,189
0.8374941561477325,12,5,190
0.8374941561477325,12,5,191
0.8374941561477325,12,5,192
0.8396680691912108,12,5,193
0.8374941561477325,12,5,194
0.8353436185133241,12,5,195
0.8353436185133241,12,5,196
0.8353436185133238,12,5,197
0.8375175315568022,12,5,198
0.8375175315568022,12,5,199
0.8353436185133241,12,5,200
0.8353436185133241,12,5,201
0.8353436185133241,12,5,202
0.8310191678354372,12,5,203
0.8331697054698457,12,5,204
0.8331697054698457,12,5,205
0.8331697054698457,12,5,206
0.8331697054698457,12,5,207
0.8310191678354372,12,5,208
0.8310191678354372,12,5,209
0.8310191678354372,12,5,210
0.8310191678354372,12,5,211
0.8310191678354372,12,5,212
0.8331930808789154,12,5,213
0.8331930808789154,12,5,214
0.8331930808789154,12,5,215
0.8353669939223936,12,5,216
0.8353669939223936,12,5,217
0.8353669939223936,12,5,218
0.8331930808789154,12,5,220
0.8244974287050024,12,6,180
0.8244974287050024,12,6,181
0.8266713417484806,12,6,182
0.8288218793828891,12,6,183
0.8288452547919588,12,6,184
0.8309957924263675,12,6,185
0.8288452547919588,12,6,186
0.8266947171575503,12,6,187
0.8266947171575503,12,6,188
0.8266713417484806,12,6,189
0.8244974287050024,12,6,190
0.8244974287050024,12,6,191
0.8244974287050024,12,6,192
0.8266713417484806,12,6,193
0.8288218793828893,12,6,194
0.826647966339411,12,6,195
0.8288218793828893,12,6,196
0.8266713417484807,12,6,197
0.826647966339411,12,6,198
0.8266713417484807,12,6,199
0.8244974287050024,12,6,200
0.8223235156615241,12,6,201
0.8288218793828893,12,6,202
0.8201729780271154,12,6,203
0.8223235156615241,12,6,204
0.8266713417484806,12,6,205
0.8244974287050024,12,6,206
0.8244974287050024,12,6,207
0.8244974287050024,12,6,208
0.8266713417484806,12,6,209
0.8244974287050024,12,6,210
0.8266713417484807,12,6,211
0.8287985039738196,12,6,212
0.8331229546517065,12,6,213
