mean_test_score,max_depth,min_samples_split,n_estimators
0.8223702664796635,11,5,445
0.8266947171575503,11,5,485
0.8245208041140719,11,5,525
0.8223468910705938,11,5,564
0.8266713417484806,11,5,604
0.8223702664796633,11,5,643
0.8245208041140721,11,5,683
0.8223702664796635,11,5,722
0.8245441795231419,11,5,762
0.8245441795231419,11,5,802
0.8223702664796635,11,5,841
0.8266947171575503,11,5,881
0.8266947171575503,11,5,920
0.8288686302010285,11,5,960
0.8288686302010285,11,5,1000
0.8050257129499766,11,6,50
0.8223702664796633,11,6,89
0.8310425432445069,11,6,129
0.822393641888733,11,6,168
0.8288452547919588,11,6,208
0.8310191678354372,11,6,247
0.8288686302010285,11,6,287
0.8309957924263675,11,6,327
0.8353436185133241,11,6,366
0.8288452547919588,11,6,406
0.8288686302010285,11,6,445
0.833216456287985,11,6,485
0.82671809256662,11,6,525
0.8245675549322113,11,6,564
0.8310659186535766,11,6,604
0.833216456287985,11,6,643
0.8289153810191678,11,6,683
0.8245675549322111,11,6,722
0.8267414679756897,11,6,762
0.8245675549322111,11,6,802
0.8245675549322111,11,6,841
0.8245675549322111,11,6,881
0.8267414679756897,11,6,920
0.8245675549322111,11,6,960
0.8245675549322111,11,6,1000
0.8028284244974287,11,7,50
0.8137213651238897,11,7,89
0.8289153810191678,11,7,129
0.82671809256662,11,7,168
0.8267414679756897,11,7,208
0.8224170172978027,11,7,247
0.82671809256662,11,7,287
0.82671809256662,11,7,327
0.822393641888733,11,7,366
0.8245675549322113,11,7,406
0.822393641888733,11,7,445
0.8267414679756897,11,7,485
0.8289153810191678,11,7,525
0.8310892940626461,11,7,564
0.8289153810191678,11,7,604
0.8310892940626461,11,7,643
0.8289153810191678,11,7,683
0.8267414679756897,11,7,722
0.8289153810191678,11,7,762
0.8289153810191678,11,7,802
0.8288920056100982,11,7,841
0.8288920056100982,11,7,881
0.8288920056100982,11,7,920
0.82671809256662,11,7,960
0.82671809256662,11,7,1000
0.8202431042543245,11,8,50
0.8202431042543245,11,8,89
0.8288686302010285,11,8,129
0.8245675549322113,11,8,168
0.8245208041140721,11,8,208
0.8223702664796635,11,8,247
0.8288452547919588,11,8,287
0.8353436185133241,11,8,327
0.8331930808789154,11,8,366
0.8245441795231416,11,8,406
0.8310425432445067,11,8,445
